,REG,EDULEV,CLETAS,C59AB,C59,C73,SG11,COND3,COND10,COEFF
1704,9,5,8,002,002,008,1,1,1,20886
1705,11,6,10,004,002,007,2,1,1,5313
1706,11, ,3,   ,   ,   ,1,3,9,5313
1707,11, ,2,   ,   ,   ,1,3,9,5313
1729,10,6,14,011,002,010,1,1,1,3384
1730,11,1,17,   ,   ,   ,2,3,10,2529
1731,11,5,11,008,002,010,1,1,1,2529
1732,11,5,10,011,002,009,2,1,1,2529
1733,11,3,5,   ,   ,   ,1,3,8,2529
1734,11, ,4,   ,   ,   ,1,3,9,2529
1745,9,6,11,005,002,010,1,1,1,11559
1746,9,5,11,007,002,007,2,1,1,11559
1747,9, ,4,   ,   ,   ,2,3,9,11559
1751,10,6,11,005,002,008,2,1,1,3642
1752,10,6,11,005,002,008,1,1,1,3642
1753,10, ,4,   ,   ,   ,1,3,9,3642
1754,10, ,3,   ,   ,   ,2,3,9,3642
1758,11,4,12,002,002,008,2,1,1,2640
1759,11,6,7,   ,   ,   ,2,3,8,2640
1760,11,5,5,   ,   ,   ,2,3,8,2640
1761,11,2,17,   ,   ,   ,2,3,10,2640
1778,11,5,16,   ,   ,   ,1,3,10,3428
1779,11,4,16,   ,   ,   ,2,3,10,3428
1780,12,5,16,   ,   ,   ,1,3,10,7575
1781,12,5,15,   ,   ,   ,2,3,10,7575
1785,11,6,11,004,002,008,2,1,1,4490
1786,11,5,12,   ,   ,   ,1,3,7,4490
1789,10,2,17,   ,   ,   ,1,3,10,2923
1790,10,3,16,   ,   ,   ,2,3,10,2923
1800,10,5,9,011,   ,007,1,1,1,2425
1810,11,2,17,   ,   ,   ,1,3,10,1941
1811,11,3,17,   ,   ,   ,2,3,10,1941
1841,9,5,12,011,002,008,1,1,1,8779
1842,9,6,11,003,002,008,2,1,1,8779
1843,9,3,5,   ,   ,   ,2,3,8,8779
1844,9, ,4,   ,   ,   ,2,3,9,8779
1887,11,3,12,011,002,009,1,1,1,2214
1888,11,2,17,   ,   ,   ,2,3,10,2214
1900,10,2,17,   ,   ,   ,2,3,10,2213
1917,11,3,12,002,002,008,1,1,1,2766
1918,11,5,12,004,002,006,2,1,1,2766
1919,11,5,6,010,   ,007,1,1,1,2766
1944,11,4,12,011,002,007,1,1,1,4154
1945,11,3,10,   ,   ,   ,2,3,5,4154
1946,11,6,6,   ,   ,   ,2,3,8,4154
1947,11,4,6,011,002,007,1,1,1,4154
1948,11,5,5,   ,   ,   ,1,3,8,4154
1955,11,2,16,   ,   ,   ,1,3,10,3596
1956,11,2,14,   ,   ,   ,2,3,8,3596
1961,12,6,9,   ,   ,   ,2,3,7,32821
1962,12,5,9,004,002,010,1,1,1,32821
1963,12, ,1,   ,   ,   ,2,3,9,32821
1980,12,5,16,   ,   ,   ,2,3,10,18082
1981,12,5,10,002,002,008,2,1,1,18082
2020,11,5,10,011,002,008,1,1,1,3690
2021,11,5,8,011,002,008,2,1,1,3690
2022,11, ,1,   ,   ,   ,1,3,9,3690
2034,11,6,10,001,002,009,2,1,1,6536
2035,11,5,10,007,002,010,1,1,1,6536
