,REG,EDULEV,CLETAS,C59AB,C59,C73,SG11,COND3,COND10,COEFF
47359,12,3,5,   ,   ,   ,1,3,8,19431
47360,12,2,17,   ,   ,   ,2,3,10,9387
47386,11,3,9,   ,   ,   ,2,2,3,3656
47402,12,5,12,002,002,010,1,1,1,17438
47403,12,3,10,   ,   ,   ,2,3,8,17438
47404,12,5,5,   ,   ,   ,2,3,8,17438
47405,12, ,4,   ,   ,   ,2,3,9,17438
47406,12, ,4,   ,   ,   ,2,3,9,17438
47407,12, ,3,   ,   ,   ,2,3,9,17438
47408,12, ,2,   ,   ,   ,1,3,9,17438
47409,10,3,13,   ,   ,   ,2,2,2,3411
47416,10,6,11,010,   ,006,1,1,1,3238
47417,10,6,12,010,   ,009,2,1,1,3238
47418,10, ,4,   ,   ,   ,2,3,9,3238
47419,9,3,13,002,002,009,1,1,1,4869
47420,9,5,11,002,002,005,2,1,1,4869
47421,9,5,6,002,002,008,2,1,1,4869
47422,9,5,5,   ,   ,   ,2,3,7,4869
47436,12,5,10,009,002,008,2,1,1,12487
47437,12,6,10,007,002,010,1,1,1,12487
47438,12, ,3,   ,   ,   ,1,3,9,12487
47442,9,6,9,010,   ,006,1,1,1,7327
47443,9,6,9,005,002,009,2,1,1,7327
47444,9, ,2,   ,   ,   ,2,3,9,7327
47445,9, ,2,   ,   ,   ,1,3,9,7327
47460,11,5,16,004,002,007,1,1,1,5536
47461,11,5,14,005,002,010,2,1,1,5536
47462,11,6,8,   ,   ,   ,2,3,8,5536
47463,11,1,17,   ,   ,   ,2,3,10,1791
47479,9,5,10,004,002,006,1,1,1,9243
47480,11,4,13,003,002,010,1,1,1,4499
47481,11,5,12,010,   ,006,2,1,1,4499
47482,11,5,6,996,002,008,2,1,1,4499
47483,11,5,5,   ,   ,   ,2,3,8,4499
47504,9,2,16,   ,   ,   ,2,3,10,6111
47505,9,3,11,005,002,010,2,1,1,6111
47506,9,3,5,   ,   ,   ,1,3,8,6111
47507,9, ,3,   ,   ,   ,2,3,9,6111
47537,10,2,14,   ,   ,   ,1,3,8,2183
47538,10,3,14,   ,   ,   ,2,3,8,2183
47558,10,3,10,005,002,006,2,1,1,2648
47564,11,3,12,002,002,010,2,1,1,2291
47565,11,6,6,   ,   ,   ,2,3,8,2291
47566,11,3,5,   ,   ,   ,1,3,8,2291
47567,11,1,17,   ,   ,   ,2,3,10,2291
47571,10,2,16,   ,   ,   ,1,3,10,2314
47572,10,2,15,   ,   ,   ,2,3,10,2314
47581,10,2,17,   ,   ,   ,2,3,10,2703
47582,12,3,16,   ,   ,   ,1,3,10,7259
47632,9,5,12,010,   ,010,1,1,1,8408
47633,9,3,16,   ,   ,   ,1,3,10,13420
47643,10,2,17,   ,   ,   ,1,3,10,2269
47644,10,2,16,   ,   ,   ,2,3,10,2269
47657,11,6,10,   ,   ,   ,2,2,2,6106
47747,9,3,17,   ,   ,   ,1,3,10,9054
47748,9,2,17,   ,   ,   ,2,3,10,9054
47766,11,5,14,003,002,010,2,1,1,5007
47796,10,6,16,   ,   ,   ,2,3,10,3014
47820,10,3,17,   ,   ,   ,1,3,10,2637
47821,10,3,15,   ,   ,   ,2,3,10,2637
47822,10,5,10,009,002,010,1,1,1,2637
47823,10,2,16,   ,   ,   ,1,3,10,3672
47824,10,3,10,010,   ,005,1,1,1,3672
47826,12,6,12,002,002,006,1,1,1,39070
47827,10,3,14,   ,   ,   ,2,3,8,2908
47894,9,6,10,002,002,009,1,1,1,9703
47895,9,6,11,011,   ,007,2,1,1,9703
47896,9, ,3,   ,   ,   ,2,3,9,9703
47912,11,1,17,   ,   ,   ,2,3,10,1761
47913,11,3,13,004,   ,005,1,1,1,1761
47937,12,3,15,   ,   ,   ,1,3,10,21888
47938,12,3,15,   ,   ,   ,2,3,10,21888
47939,12,3,8,   ,   ,   ,2,2,4,21888
47945,11,2,17,   ,   ,   ,1,3,10,2146
47946,11,2,17,   ,   ,   ,2,3,10,2146
47947,11,3,12,002,002,009,2,1,1,2146
47982,11,4,8,   ,001,010,1,1,1,3128
48026,11,3,13,011,002,008,1,1,1,2622
48027,11,5,7,002,002,006,2,1,1,2622
48028,11, ,3,   ,   ,   ,2,3,9,2622
48058,11,1,17,   ,   ,   ,2,3,10,2541
48086,11,3,13,002,002,010,1,1,1,2931
48087,11,3,12,   ,   ,   ,2,3,8,2931
48088,11,2,13,010,   ,010,1,1,1,2123
48089,11,3,12,010,   ,007,2,1,1,2123
48090,11,3,5,   ,   ,   ,1,3,8,2123
48091,11, ,4,   ,   ,   ,1,3,9,2123
48099,9,4,13,005,002,007,1,1,1,10497
48100,9,5,12,010,   ,006,2,1,1,10497
48101,9,5,6,   ,   ,   ,2,3,7,10497
48102,9,3,5,   ,   ,   ,1,3,8,10497
48120,12,5,11,005,002,010,2,1,1,15416
48121,12,5,12,010,   ,004,1,1,1,15416
48122,12,3,5,   ,   ,   ,2,3,8,15416
48123,12, ,4,   ,   ,   ,2,3,9,15416
48187,11,2,13,002,002,006,1,1,1,3379
48188,11,3,12,   ,   ,   ,2,3,5,3379
48189,11,6,8,005,002,005,2,1,1,3379
48190,11,1,17,   ,   ,   ,1,3,10,2886
48202,11,2,17,   ,   ,   ,2,3,10,4469
48217,11,2,17,   ,   ,   ,1,3,10,2353
48218,11,2,16,   ,   ,   ,2,3,10,2353
48226,12,6,13,005,002,009,2,1,1,15922
48227,12,6,13,007,002,008,1,1,1,15922
48228,12,5,6,   ,   ,   ,2,3,8,15922
48229,12,5,17,   ,   ,   ,2,3,10,15922
48230,12,5,11,   ,   ,   ,1,2,2,19577
48231,12,6,10,   ,   ,   ,2,2,2,19577
48232,12,3,7,   ,   ,   ,2,3,8,19577
48264,11,6,10,006,002,008,2,1,1,5533
48265,11,5,11,002,002,007,1,1,1,5533
48266,11, ,3,   ,   ,   ,1,3,9,5533
48267,11, ,2,   ,   ,   ,2,3,9,5533
48294,12,5,8,005,002,010,1,1,1,6485
48311,12,3,11,   ,   ,   ,1,2,2,46958
48312,11,5,14,   ,   ,   ,1,3,8,2446
48313,11,5,13,   ,   ,   ,2,3,8,2446
48318,12,2,16,   ,   ,   ,1,3,10,12455
48327,11,5,13,010,   ,008,1,1,1,5427
48328,11,4,14,   ,001,007,2,1,1,5427
48329,11,5,7,004,   ,007,1,1,1,5427
48330,11,5,6,   ,   ,   ,1,3,8,5427
48331,11,5,6,   ,   ,   ,1,3,8,5427
48352,11,4,17,   ,   ,   ,2,3,10,1754
48353,11,5,12,002,002,009,2,1,1,1754
48354,11,2,11,011,002,008,1,1,1,1754
48355,11,3,6,   ,   ,   ,2,2,2,1754
48356,11, ,4,   ,   ,   ,1,3,9,1754
48357,12,2,17,   ,   ,   ,1,3,10,28091
48361,12,3,17,   ,   ,   ,1,3,10,15903
48362,12,3,17,   ,   ,   ,2,3,10,15903
48386,12,4,12,003,002,006,1,1,1,28466
48387,12,5,11,   ,   ,   ,2,3,5,28466
48388,12,3,5,   ,   ,   ,2,3,8,28466
48433,12,2,17,   ,   ,   ,1,3,10,6893
48434,12,2,16,   ,   ,   ,2,3,10,6893
48449,9,5,11,011,   ,010,1,1,1,16137
48463,11,6,13,005,002,008,1,1,1,3121
48464,11,6,13,005,002,008,2,1,1,3121
48465,11,6,7,   ,   ,   ,2,3,5,3121
48466,11,5,6,   ,   ,   ,1,3,8,3121
48475,9,2,17,   ,   ,   ,1,3,10,4988
48476,9,2,17,   ,   ,   ,2,3,10,4988
48521,12,2,15,   ,   ,   ,2,3,10,9873
48530,10,2,15,   ,   ,   ,1,3,10,3290
48531,10,2,15,   ,   ,   ,2,3,10,3290
48552,9,5,12,002,002,008,1,1,1,10372
48553,9,3,11,   ,   ,   ,2,3,8,10372
48554,9,3,5,   ,   ,   ,1,3,8,10372
48555,9, ,4,   ,   ,   ,1,3,9,10372
48572,11,2,15,   ,   ,   ,1,3,10,2460
48573,11,2,15,   ,   ,   ,2,3,10,2460
48581,11,5,11,   ,   ,   ,2,2,3,2358
48591,12,3,17,   ,   ,   ,1,3,10,15179
48592,12,5,12,002,002,007,2,1,1,15179
48630,9,5,15,004,   ,000,1,1,1,8776
48631,9,6,14,010,   ,007,2,1,1,8776
48661,11,3,12,011,002,008,1,1,1,5062
48662,11,3,11,011,002,007,2,1,1,5062
48663,11,5,6,   ,   ,   ,1,3,7,5062
48664,11,3,5,   ,   ,   ,1,3,8,5062
48678,9,5,10,010,   ,010,1,1,1,7129
48691,9,2,16,   ,   ,   ,1,3,10,10449
48692,9,3,15,   ,   ,   ,2,3,10,10449
48712,12,2,17,   ,   ,   ,2,3,10,17015
48732,12,3,10,   ,001,008,1,1,1,5983
48733,12,6,10,011,002,008,2,1,1,5983
48734,12, ,3,   ,   ,   ,1,3,9,5983
48735,12, ,2,   ,   ,   ,1,3,9,5983
48740,9,2,17,   ,   ,   ,2,3,10,15997
48741,9,3,13,   ,   ,   ,2,3,8,15997
48742,9,6,7,009,002,009,2,1,1,15997
48743,9, ,2,   ,   ,   ,1,3,9,15997
48774,12,5,9,005,002,009,1,1,1,16404
48781,10,6,11,996,002,006,2,1,1,4196
48782,10,4,13,003,002,007,1,1,1,4196
48796,10,6,12,003,002,009,1,1,1,4072
48799,12,6,7,002,002,006,2,1,1,16201
48800,12,5,13,002,002,008,1,1,1,16201
48801,12,5,12,   ,   ,   ,2,3,8,16201
48802,12,6,7,011,002,009,2,1,1,16201
48803,11,5,14,   ,   ,   ,1,3,8,4363
48804,11,5,14,   ,   ,   ,2,3,8,4363
48807,11,6,17,   ,   ,   ,1,3,10,2328
48808,11,6,17,   ,   ,   ,2,3,10,2328
48817,12,5,14,   ,   ,   ,1,3,8,32423
48818,12,5,12,002,002,005,2,1,1,32423
48819,12,6,7,   ,   ,   ,2,2,4,32423
48820,12,6,6,   ,   ,   ,2,3,8,32423
48829,12,3,15,   ,   ,   ,1,3,10,18329
48840,11,5,11,005,002,009,2,1,1,4456
48841,11,5,12,011,002,006,1,1,1,4456
48842,11,5,6,011,002,008,1,1,1,4456
48843,11,3,5,   ,   ,   ,1,3,8,4456
48844,11, ,3,   ,   ,   ,1,3,9,4456
48862,9,5,11,009,002,010,2,1,1,15449
48881,10,5,12,011,002,008,1,1,1,5131
48882,10,5,10,004,002,008,2,1,1,5131
48883,10,3,5,   ,   ,   ,1,3,8,5131
48884,10,3,5,   ,   ,   ,2,3,8,5131
48900,10,3,15,   ,   ,   ,1,3,10,2616
48901,10,3,15,   ,   ,   ,2,3,10,2616
48910,9,3,10,010,   ,008,1,1,1,10658
48911,9,5,10,007,002,008,2,1,1,10658
48912,9, ,3,   ,   ,   ,2,3,9,10658
48918,10,1,17,   ,   ,   ,2,3,10,2356
48934,11,4,11,005,002,010,1,1,1,5821
48935,11,5,11,002,002,008,2,1,1,5821
48936,11,3,5,   ,   ,   ,1,3,8,5821
48937,11, ,4,   ,   ,   ,2,3,9,5821
48938,9,5,11,011,002,008,1,1,1,12607
48939,9,5,11,   ,   ,   ,2,3,8,12607
48947,9,3,17,   ,   ,   ,2,3,10,11498
48952,11,1,17,   ,   ,   ,2,3,10,2576
48983,10,4,15,   ,   ,   ,1,3,10,2984
48997,12,5,9,009,002,008,1,1,1,20449
48998,12,6,8,009,002,007,2,1,1,20449
48999,12, ,2,   ,   ,   ,1,3,9,20449
49000,12, ,1,   ,   ,   ,1,3,9,20449
49013,9,2,16,   ,   ,   ,2,3,10,20223
49025,9,2,14,   ,   ,   ,2,3,8,5161
49026,9,3,17,   ,   ,   ,1,3,10,5161
49027,10,2,17,   ,   ,   ,1,3,10,2695
49028,10,1,16,   ,   ,   ,2,3,10,2695
49044,11,3,17,   ,   ,   ,1,3,10,2418
49045,11,2,17,   ,   ,   ,2,3,10,2418
49052,10,2,17,   ,   ,   ,2,3,10,2271
49058,11,3,13,001,002,008,2,1,1,3239
49059,11,5,7,011,002,010,2,1,1,3239
49060,11,3,5,   ,   ,   ,1,3,8,3239
49061,12,2,16,   ,   ,   ,2,3,10,11726
49075,11,2,15,   ,   ,   ,1,3,10,2581
49076,11,2,15,   ,   ,   ,1,3,10,2581
49098,12,6,13,   ,001,000,2,1,1,13646
49099,12,5,6,   ,   ,   ,1,3,6,13646
49100,12,3,15,   ,   ,   ,1,3,10,19886
49101,12,5,15,   ,   ,   ,2,3,10,19886
49125,11,5,6,002,002,008,1,1,1,7516
49127,11,6,13,010,   ,008,1,1,1,5267
49128,11,6,13,010,   ,008,2,1,1,5267
49129,11,3,5,   ,   ,   ,2,3,8,5267
49136,9,3,15,   ,   ,   ,1,3,10,2612
49137,9,3,14,   ,   ,   ,2,3,8,2612
49138,9,1,17,   ,   ,   ,2,3,10,2612
49140,9,2,12,002,002,009,1,1,1,9121
49141,9,5,11,   ,   ,   ,2,3,8,9121
49142,9,4,6,004,002,007,1,1,1,9121
49143,9,5,6,   ,   ,   ,1,3,8,9121
49161,11,1,17,   ,   ,   ,2,3,10,2260
49162,11,3,15,   ,   ,   ,1,3,10,2260
49163,12,5,8,   ,   ,   ,1,2,2,20868
49164,12,5,9,   ,   ,   ,2,3,5,20868
49165,12, ,1,   ,   ,   ,2,3,9,20868
49166,9,4,11,   ,   ,   ,1,3,7,11561
49167,9,2,8,   ,   ,   ,2,3,8,11561
49168,9, ,3,   ,   ,   ,1,3,9,11561
49169,12,5,15,   ,   ,   ,1,3,10,6309
49170,12,3,15,   ,   ,   ,2,3,10,6309
49171,12,1,17,   ,   ,   ,2,3,10,6309
49173,10,3,12,   ,   ,   ,2,3,8,6638
49174,10,5,6,007,002,007,2,1,1,6638
49175,10,4,6,007,002,009,1,1,1,6638
49183,9,4,14,010,   ,007,2,1,1,12144
49186,10,3,8,011,002,007,2,1,1,3483
49187,10,5,8,010,   ,007,1,1,1,3483
49188,10, ,2,   ,   ,   ,2,3,9,3483
49203,11,2,17,   ,   ,   ,2,3,10,4799
49204,12,2,12,011,002,010,2,1,1,14174
49205,12,6,7,004,002,010,2,1,1,14174
49215,9,5,10,010,   ,008,1,1,1,11339
49224,10,5,9,   ,001,008,1,1,1,3024
49225,10,5,8,   ,   ,   ,2,3,8,3024
49226,10, ,3,   ,   ,   ,2,3,9,3024
49233,10,5,10,010,   ,001,1,1,1,3561
49234,10,3,8,   ,   ,   ,2,3,8,3561
49235,10,3,5,   ,   ,   ,1,3,8,3561
49236,10, ,4,   ,   ,   ,1,3,9,3561
49237,10, ,3,   ,   ,   ,1,3,9,3561
49238,10, ,1,   ,   ,   ,2,3,9,3561
49252,10,1,11,011,002,007,1,1,1,3453
49253,10,1,10,   ,   ,   ,2,3,8,3453
49254,10, ,4,   ,   ,   ,1,3,9,3453
49255,12,6,13,008,002,008,2,1,1,26030
49256,12,5,6,011,002,010,2,1,1,26030
49257,12,5,6,   ,   ,   ,2,3,7,26030
49258,12, ,4,   ,   ,   ,2,3,9,26030
49262,10,2,16,   ,   ,   ,2,3,10,3664
49263,9,2,16,   ,   ,   ,1,3,10,9739
49264,9,3,14,   ,   ,   ,2,3,8,9739
49280,12,5,11,004,002,002,2,1,1,21084
49281,12,5,12,010,   ,006,1,1,1,21084
49282,12,3,5,   ,   ,   ,1,3,8,21084
49283,12, ,4,   ,   ,   ,2,3,9,21084
49290,11,3,13,002,002,007,1,1,1,3611
49299,12,2,17,   ,   ,   ,2,3,10,12228
49300,9,5,8,001,002,008,1,1,1,12001
49301,9,6,9,001,002,006,2,1,1,12001
49302,9, ,1,   ,   ,   ,2,3,9,12001
49312,9,5,15,   ,   ,   ,1,3,10,11740
49389,11,3,10,007,002,010,1,1,1,3648
49390,11,3,9,   ,001,008,2,1,1,3648
49391,11, ,4,   ,   ,   ,2,3,9,3648
49393,12,3,7,011,   ,007,1,1,1,20903
49406,11,3,8,   ,   ,   ,1,3,5,2865
49407,11,5,8,   ,   ,   ,2,3,5,2865
49419,10,2,15,010,   ,007,1,1,1,2720
49420,10,5,13,004,   ,008,2,1,1,2720
49426,11,2,17,   ,   ,   ,2,3,10,1706
49427,11,5,17,   ,   ,   ,1,3,10,3480
49437,11,2,17,   ,   ,   ,1,3,10,1891
49438,11,2,16,   ,   ,   ,2,3,10,1891
49453,12,5,13,   ,   ,   ,2,3,8,10317
49454,12,6,16,   ,   ,   ,1,3,10,10317
49509,11,2,16,   ,   ,   ,2,3,10,5594
49510,11,5,11,011,   ,005,1,1,1,5594
49511,11,5,11,005,002,007,2,1,1,5594
49512,11,5,6,   ,   ,   ,1,3,8,5594
49513,11,3,5,   ,   ,   ,2,3,8,5594
49517,10,3,17,   ,   ,   ,1,3,10,1844
49518,10,2,17,   ,   ,   ,2,3,10,1844
49519,11,2,17,   ,   ,   ,1,3,10,4495
49520,11,2,17,   ,   ,   ,2,3,10,4495
49556,12,5,14,   ,   ,   ,1,3,8,9410
49557,12,5,14,005,002,006,2,1,1,9410
49558,11,3,12,011,002,006,1,1,1,1889
49559,11,3,13,   ,   ,   ,2,3,8,1889
49560,11,3,6,   ,   ,   ,1,3,6,1889
49561,11, ,4,   ,   ,   ,2,3,9,1889
49583,11,3,13,010,   ,007,1,1,1,6679
49584,11,3,12,010,   ,007,2,1,1,6679
49585,11,6,7,002,002,007,1,1,1,6679
49586,11,3,7,011,002,007,1,1,1,6679
49604,12,5,11,005,002,007,2,1,1,16728
49605,12,3,5,   ,   ,   ,1,3,8,16728
49614,10,3,14,   ,   ,   ,2,3,8,3233
49620,12,6,9,005,002,008,1,1,1,14485
49621,12,6,8,009,002,008,2,1,1,14485
49628,11,2,17,   ,   ,   ,1,3,10,3260
49634,9,3,17,   ,   ,   ,1,3,10,5544
49635,9,2,17,   ,   ,   ,2,3,10,5544
49639,9,6,9,011,   ,008,1,1,1,5399
49640,9,6,9,011,   ,007,2,1,1,5399
49641,9, ,1,   ,   ,   ,1,3,9,5399
49654,11,3,15,   ,   ,   ,2,3,10,1842
49657,10,3,10,002,002,007,1,1,1,3437
49658,10,5,9,001,002,008,2,1,1,3437
49659,10, ,4,   ,   ,   ,1,3,9,3437
49663,10,3,17,   ,   ,   ,1,3,10,2666
49669,9,2,17,   ,   ,   ,1,3,10,11167
49673,12,5,10,002,002,009,1,1,1,17050
49674,12,5,9,007,002,008,2,1,1,17050
49675,12, ,2,   ,   ,   ,1,3,9,17050
49676,11,3,9,002,002,007,1,1,1,5267
49683,9,6,16,   ,   ,   ,1,3,10,5857
49684,9,6,15,005,002,008,2,1,1,5857
49701,12,3,16,   ,   ,   ,1,3,10,14489
49706,10,2,17,   ,   ,   ,1,3,10,1985
49707,10,2,17,   ,   ,   ,2,3,10,1985
49708,10,2,17,   ,   ,   ,2,3,10,1981
49728,9,2,17,   ,   ,   ,2,3,10,13374
49733,11,5,9,002,002,007,1,1,1,4802
49734,11,5,9,   ,   ,   ,2,3,6,4802
49737,12,3,13,   ,   ,   ,2,3,8,6508
49738,11,5,14,010,   ,007,1,1,1,4166
49745,12,6,14,005,002,005,1,1,1,29545
49752,10,2,17,   ,   ,   ,2,3,10,1978
49772,12,3,14,   ,   ,   ,1,3,8,15709
49773,12,3,14,   ,   ,   ,2,3,8,15709
49774,12,6,6,011,002,008,1,1,1,15709
49796,11,6,16,   ,   ,   ,1,3,10,3940
49797,11,6,16,   ,   ,   ,2,3,10,3940
49803,9,5,15,   ,   ,   ,2,3,10,8074
49821,10,4,12,011,002,008,1,1,1,2479
49822,10,3,12,   ,   ,   ,2,3,8,2479
49823,10,5,7,007,002,007,2,1,1,2479
49833,9,2,17,   ,   ,   ,2,3,10,9612
49834,9,3,12,011,002,008,1,1,1,9612
49855,9,6,9,004,   ,006,1,1,1,14893
49864,12,3,10,011,002,010,1,1,1,13606
49865,12,3,9,   ,   ,   ,2,2,3,13606
49866,12, ,4,   ,   ,   ,2,3,9,13606
49867,12, ,3,   ,   ,   ,1,3,9,13606
49906,9,4,16,010,   ,997,1,1,1,9677
49907,9,4,13,   ,   ,   ,2,3,8,9677
49908,9,5,6,010,   ,997,1,1,1,9677
49913,12,1,17,   ,   ,   ,2,3,10,11873
49926,11,5,15,   ,   ,   ,1,3,10,4476
49927,11,3,16,   ,   ,   ,2,3,10,4476
49936,9,2,17,   ,   ,   ,1,3,10,12916
49937,9,1,17,   ,   ,   ,2,3,10,12916
49964,12,3,11,   ,   ,   ,1,2,2,13905
49965,12,5,11,   ,   ,   ,2,3,5,13905
49966,12, ,3,   ,   ,   ,1,3,9,13905
49967,11,6,17,   ,   ,   ,1,3,10,3809
49968,11,2,17,   ,   ,   ,1,3,10,4369
49969,11,3,16,   ,   ,   ,2,3,10,4369
49997,12,5,10,011,002,007,1,1,1,18129
49998,12,5,11,   ,   ,   ,2,2,2,18129
49999,12,5,6,   ,   ,   ,2,3,8,18129
50009,11,1,17,   ,   ,   ,1,3,10,3161
50010,11,2,16,   ,   ,   ,2,3,10,3161
50011,11,3,11,004,002,009,1,1,1,3161
50012,11,3,10,   ,   ,   ,2,2,2,3161
50013,11, ,4,   ,   ,   ,1,3,9,3161
50022,12,3,17,   ,   ,   ,2,3,10,4801
50023,12,3,17,   ,   ,   ,1,3,10,4801
50034,9,2,17,   ,   ,   ,2,3,10,7222
50035,12,4,12,   ,   ,   ,1,3,7,25494
50036,12,4,10,   ,   ,   ,2,3,8,25494
50037,12,6,6,   ,   ,   ,2,3,5,25494
50038,12,3,5,   ,   ,   ,1,3,8,25494
50053,12,5,7,004,002,007,2,1,1,36331
50054,12,3,10,010,   ,008,2,1,1,36331
50055,12, ,4,   ,   ,   ,1,3,9,36331
50056,12, ,3,   ,   ,   ,1,3,9,36331
50085,9,3,17,   ,   ,   ,2,3,10,7774
50090,10,2,16,   ,   ,   ,1,3,10,2445
50091,10,2,15,   ,   ,   ,2,3,10,2445
50121,11,3,13,003,002,007,1,1,1,3129
50122,11,3,12,010,   ,008,2,1,1,3129
50123,11,3,5,   ,   ,   ,1,3,8,3129
50133,11,2,17,   ,   ,   ,1,3,10,2513
50134,11,2,16,   ,   ,   ,2,3,10,2513
50138,12,3,16,   ,   ,   ,1,3,10,10608
50139,12,2,15,   ,   ,   ,2,3,10,10608
50140,12,3,16,   ,   ,   ,2,3,10,7247
50141,12,5,11,   ,   ,   ,2,2,2,7247
50146,12,5,15,   ,   ,   ,1,3,10,9884
50147,12,5,14,   ,   ,   ,2,3,8,9884
50159,11,6,10,005,002,008,2,1,1,4463
50160,11, ,1,   ,   ,   ,2,3,9,4463
50200,10,3,16,   ,   ,   ,2,3,10,2203
50201,10,1,11,   ,   ,   ,2,3,8,2203
50204,11,5,17,   ,   ,   ,1,3,10,3158
50205,11,5,11,011,002,006,1,1,1,3158
50244,12,6,13,002,002,009,1,1,1,12861
50245,11,6,12,003,002,008,1,1,1,6777
50246,11,6,11,010,   ,010,2,1,1,6777
50247,11,5,5,   ,   ,   ,2,3,8,6777
50248,11, ,4,   ,   ,   ,2,3,9,6777
50254,12,3,14,   ,   ,   ,1,3,5,5665
50255,12,3,12,   ,   ,   ,2,3,8,5665
50256,12,5,7,   ,   ,   ,2,3,8,5665
50257,12,5,6,   ,   ,   ,2,3,7,5665
50260,9,5,14,   ,   ,   ,2,3,8,7081
50261,9,6,15,   ,   ,   ,1,3,10,7081
50262,11,3,11,010,   ,008,1,1,1,3753
50272,9,4,13,004,002,010,2,1,1,6148
50273,9,5,16,010,   ,010,1,1,1,6148
50274,11,5,11,003,002,010,1,1,1,4027
50275,11,6,11,005,002,010,2,1,1,4027
50276,11, ,4,   ,   ,   ,2,3,9,4027
50277,11, ,3,   ,   ,   ,1,3,9,4027
50285,12,1,17,   ,   ,   ,1,3,10,4314
50286,12,1,17,   ,   ,   ,2,3,10,4314
50312,9,4,14,   ,   ,   ,2,3,8,9776
50313,9,3,6,010,   ,008,1,1,1,9776
50314,9,5,10,010,   ,009,1,1,1,9776
50319,11,3,14,   ,   ,   ,1,3,8,4781
50320,11,3,13,   ,   ,   ,2,3,8,4781
50333,11,3,12,005,002,009,1,1,1,5506
50334,11,5,6,002,002,009,1,1,1,5506
50335,11,3,5,   ,   ,   ,1,3,8,5506
50336,11, ,4,   ,   ,   ,1,3,9,5506
50356,9,3,9,002,002,004,1,1,1,20445
50357,9, ,4,   ,   ,   ,1,3,9,20445
50358,12,5,16,   ,   ,   ,1,3,10,10491
50388,10,3,12,   ,   ,   ,2,2,3,2252
50389,10,3,11,011,002,008,1,1,1,2252
50390,10, ,4,   ,   ,   ,2,3,9,2252
50391,10, ,3,   ,   ,   ,1,3,9,2252
50392,11,6,11,003,002,006,2,1,1,3610
50393,11,3,5,   ,   ,   ,1,3,8,3610
50396,10,5,13,002,002,007,1,1,1,3785
50397,10,6,12,005,002,005,2,1,1,3785
50398,10,6,7,   ,   ,   ,1,3,8,3785
50399,10,6,6,   ,   ,   ,2,3,8,3785
50426,9,3,16,   ,   ,   ,2,3,10,8276
50437,11,1,17,   ,   ,   ,2,3,10,1421
50449,11,5,13,   ,   ,   ,1,3,8,5415
50470,11,4,12,004,   ,006,1,1,1,1975
50471,11,6,10,   ,   ,   ,2,3,8,1975
50472,11, ,4,   ,   ,   ,1,3,9,1975
50473,11, ,3,   ,   ,   ,2,3,9,1975
50474,12,6,14,002,002,007,1,1,1,30402
50479,12,6,13,010,   ,008,1,1,1,26540
50480,12,6,13,009,002,005,2,1,1,26540
50481,12, ,3,   ,   ,   ,1,3,9,26540
50510,12,2,17,   ,   ,   ,1,3,10,4211
50511,12,2,17,   ,   ,   ,2,3,10,4211
50516,12,3,15,   ,   ,   ,1,3,10,7751
50517,12,5,15,   ,   ,   ,2,3,10,7751
50536,9,6,16,   ,   ,   ,2,3,10,7438
50562,10,3,12,002,002,008,1,1,1,4254
50563,10,3,12,   ,   ,   ,2,3,5,4254
50564,10,5,7,007,002,008,1,1,1,4254
50565,10,5,6,   ,   ,   ,2,3,8,4254
50574,9,6,9,004,002,010,1,1,1,5120
50575,9,4,8,   ,   ,   ,2,3,5,5120
50576,9, ,3,   ,   ,   ,1,3,9,5120
50577,9, ,2,   ,   ,   ,1,3,9,5120
50578,11,3,14,002,002,009,1,1,1,2638
50583,11,3,13,007,002,008,2,1,1,3551
50584,11,3,8,004,002,006,1,1,1,3551
50585,9,3,17,   ,   ,   ,1,3,10,3878
50586,9,3,16,   ,   ,   ,2,3,10,3878
50587,11,2,17,   ,   ,   ,1,3,10,1640
50588,11,2,16,   ,   ,   ,2,3,10,1640
50589,11,3,11,003,002,010,1,1,1,1640
50590,11,3,10,   ,   ,   ,2,3,5,1640
50591,11, ,3,   ,   ,   ,2,3,9,1640
50592,11, ,3,   ,   ,   ,1,3,9,1640
50593,11, ,2,   ,   ,   ,1,3,9,1640
50608,12,5,13,   ,   ,   ,2,3,8,4459
50619,10,2,16,   ,   ,   ,1,3,10,1297
50620,10,2,14,   ,   ,   ,2,3,8,1297
50639,9,3,13,005,002,008,1,1,1,8960
50640,9,5,6,   ,   ,   ,1,3,8,8960
50641,9,5,6,009,002,008,1,1,1,8960
50688,12,6,17,   ,   ,   ,2,3,10,12645
50696,12,3,17,   ,   ,   ,1,3,10,15769
50697,12,5,16,   ,   ,   ,2,3,10,15769
50698,12,6,11,010,   ,006,1,1,1,15769
50704,12,6,12,003,002,004,1,1,1,29300
50705,12,6,11,011,002,008,2,1,1,29300
50706,12, ,3,   ,   ,   ,2,3,9,29300
50735,12,3,5,   ,   ,   ,2,3,7,24617
50736,12,3,8,   ,   ,   ,2,2,2,24617
50737,12, ,1,   ,   ,   ,2,3,9,24617
50738,12,3,13,005,002,007,1,1,1,11267
50739,12,5,13,   ,   ,   ,2,3,7,11267
50740,12,5,5,   ,   ,   ,2,3,8,11267
50749,12,6,15,   ,   ,   ,1,3,10,16966
50750,12,6,14,   ,   ,   ,2,3,8,16966
50751,10,5,14,   ,   ,   ,1,3,8,3485
