,REGMCR,EDULEV,CLETAS,QC67,QC62,QSF11,COND3,COND10,COEFF
26016,11,6,9,000,005,2,1,1,1679
26017,11, ,17,   ,   ,1,3,10,6944
26018,11,3,13,008,002,1,1,1,6944
26019,11,3,12,009,005,2,1,1,6944
26020,11,2,15,   ,   ,2,3,10,6944
26021,11,5,8,009,001,1,1,1,6944
26022,11,5,13,006,006,1,1,1,4223
26023,11,6,11,008,005,2,1,1,3475
26024,11,5,17,   ,   ,1,3,10,1724
26025,11,5,16,   ,   ,2,3,10,1724
26026,11,4,14,   ,   ,1,3,8,2391
26027,11,3,13,   ,   ,2,3,8,2391
26028,11,5,8,010,002,1,1,1,2391
26029,11,6,6,   ,   ,1,3,8,2391
26030,11,6,8,997,997,2,1,1,2391
26031,11,3,12,997,005,1,1,1,5141
26032,11,4,12,008,006,2,1,1,5141
26033,11,5,7,   ,   ,2,3,8,5141
26034,11,5,7,997,005,1,1,1,5141
26035,11,5,12,009,002,1,1,1,3709
26036,11,5,12,008,002,2,1,1,3709
26037,11,5,6,   ,   ,1,3,8,3709
26038,11,3,5,   ,   ,2,3,8,3709
26039,11,3,14,008,011,1,1,1,3460
26040,11,3,13,008,005,2,1,1,3460
26041,11,5,7,007,005,1,1,1,5285
26042,11,3,15,   ,   ,1,3,10,4022
26043,11,5,14,   ,   ,2,3,8,4022
26044,11,6,8,008,006,1,1,1,4022
26045,11,5,10,007,002,1,1,1,2269
26046,11,5,10,007,002,2,1,1,2269
26047,11, ,4,   ,   ,2,3,9,2269
26048,11,3,14,007,002,2,1,1,2269
26049,11,3,14,008,010,2,1,1,3011
26050,11,5,13,008,002,2,1,1,2712
26051,11,5,11,009,005,1,1,1,2803
26052,11,3,8,009,005,2,1,1,2803
26053,11, ,4,   ,   ,1,3,9,2803
26054,11, ,4,   ,   ,1,3,9,2803
26055,11, ,2,   ,   ,2,3,9,2803
26056,11,3,14,008,005,2,1,1,4588
26057,11,2,11,008,005,1,1,1,4588
26058,11, ,4,   ,   ,2,3,9,4588
26059,11,6,14,005,010,1,1,1,5588
26060,11, ,17,   ,   ,2,3,10,4053
26061,11,3,14,997,002,1,1,1,4053
26062,11,4,13,997,011,2,1,1,4053
26063,11,3,6,   ,   ,1,3,8,4053
26064,11,3,17,   ,   ,1,3,10,3171
26065,11,3,15,   ,   ,2,3,10,3171
26066,11,5,12,009,002,1,1,1,4202
26067,11,2,17,   ,   ,1,3,10,4697
26068,11,2,17,   ,   ,2,3,10,4697
26069,11,3,13,   ,   ,2,3,8,4697
26070,11,3,15,   ,   ,2,3,10,2604
26071,11,2,17,   ,   ,1,3,10,4185
26072,11,2,17,   ,   ,2,3,10,4185
26073,11,5,16,   ,   ,2,3,10,2906
26074,11,3,11,009,011,1,1,1,4810
26075,11,3,10,   ,   ,2,3,7,4810
26076,11,5,17,   ,   ,1,3,10,4810
26077,11,5,16,   ,   ,2,3,10,2656
26078,11,5,16,   ,   ,1,3,10,2656
26079,11,6,15,009,011,2,1,1,1994
26080,11,6,16,   ,   ,1,3,10,1994
26081,11,3,16,   ,   ,1,3,10,3374
26082,11,3,15,   ,   ,2,3,10,3374
26083,11,5,12,008,005,1,1,1,2673
26084,11,6,12,009,002,2,1,1,2673
26085,11, ,4,   ,   ,1,3,9,2673
26086,11,5,14,008,006,1,1,1,4627
26087,11,6,17,   ,   ,1,3,10,2758
26088,11,5,14,009,005,1,1,1,4731
26089,11,5,13,010,005,2,1,1,4731
26090,11,6,7,008,002,2,1,1,4731
26091,11,3,15,   ,   ,2,3,10,3722
26092,11,6,13,009,002,2,1,1,1845
26093,11, ,4,   ,   ,1,3,9,1845
26094,11,3,13,001,006,1,1,1,3680
26095,11,5,13,   ,   ,2,3,7,3680
26096,11,5,7,006,001,2,1,1,3680
26097,11,5,13,008,011,1,1,1,3656
26098,11,6,11,007,010,2,1,1,3656
26099,11, ,4,   ,   ,1,3,9,3656
26100,11, ,4,   ,   ,1,3,9,3656
26101,11,6,13,009,004,1,1,1,2909
26102,11,6,12,008,011,2,1,1,2909
26103,11,5,5,   ,   ,2,3,8,2909
26104,11, ,4,   ,   ,2,3,9,2909
26105,11,2,17,009,004,1,1,1,2909
26106,11,5,14,007,002,1,1,1,1996
26107,11,5,13,007,006,2,1,1,1996
26108,11,5,11,008,002,1,1,1,5168
26109,11,6,7,008,996,2,1,1,5168
26110,11,3,17,   ,   ,2,3,10,3182
26111,11,3,14,   ,   ,2,3,5,2083
26112,11,5,13,010,002,1,1,1,2083
26113,11,5,12,007,011,2,1,1,3486
26114,11,5,15,   ,   ,1,3,10,4704
26115,11,3,14,010,005,2,1,1,4704
26116,11,5,7,   ,   ,1,2,3,4704
26117,11,5,8,009,005,1,1,1,4704
26118,11,6,12,008,006,2,1,1,3631
26119,11,3,13,008,011,1,1,1,2937
26120,11,5,11,   ,   ,2,3,8,2937
26121,11,6,7,008,002,1,1,1,2937
26122,11,5,5,   ,   ,1,3,8,2937
26123,11, ,17,   ,   ,2,3,10,4390
26124,11,2,17,   ,   ,1,3,10,5030
26125,11,3,16,   ,   ,2,3,10,2857
26126,11,6,10,007,002,2,1,1,3205
26127,11,6,10,008,003,1,1,1,3205
26128,11, ,2,   ,   ,1,3,9,3205
26129,11,3,17,   ,   ,2,3,10,1894
26130,11,5,13,   ,   ,2,3,8,1894
26131,11,3,12,007,002,2,1,1,3842
26132,11,3,15,   ,   ,1,3,10,8039
26133,11,3,14,   ,   ,2,3,8,8039
26134,11,1,10,   ,   ,1,3,8,8039
26135,11,3,9,   ,   ,1,3,5,8039
26136,11,2,17,   ,   ,2,3,10,8651
26137,11,3,10,008,002,1,1,1,8651
26138,11,6,17,   ,   ,2,3,10,2984
26139,11,3,11,006,004,1,1,1,7934
26140,11,5,11,   ,   ,2,3,7,7934
26141,11, ,3,   ,   ,1,3,9,7934
26142,11, ,3,   ,   ,2,3,9,7934
26143,11,3,17,   ,   ,1,3,10,2553
26144,11,6,9,997,006,1,1,1,5190
26145,11,5,8,007,005,2,1,1,5190
26146,11, ,1,   ,   ,1,3,9,5190
26147,11,2,17,   ,   ,2,3,10,6171
26148,11,5,11,006,001,2,1,1,5274
26149,11,5,11,007,011,1,1,1,5274
26150,11, ,3,   ,   ,2,3,9,5274
26151,11, ,17,   ,   ,2,3,10,4034
26152,11,5,13,   ,   ,1,3,7,4034
26153,11,3,13,006,005,1,1,1,6034
26154,11,2,12,006,001,2,1,1,3355
26155,11,5,14,007,004,2,1,1,2848
26156,11,2,17,   ,   ,1,3,10,3697
26157,11,2,16,   ,   ,2,3,10,3697
26158,11,5,15,   ,   ,2,3,10,4298
26159,11,3,16,   ,   ,1,3,10,4298
26160,11,2,17,   ,   ,1,3,10,3208
26161,11,2,16,   ,   ,2,3,10,3208
26162,11,3,14,010,006,2,1,1,4885
26163,11,4,11,008,002,1,1,1,4885
26164,11,5,11,   ,   ,2,3,8,4885
26165,11,3,5,   ,   ,1,3,8,4885
26166,11,2,16,   ,   ,2,3,10,4156
26167,11,2,17,   ,   ,1,3,10,3183
26168,11,5,16,   ,   ,2,3,10,3183
26169,11,5,11,   ,   ,1,3,7,3183
26170,11,5,11,007,002,2,1,1,4453
26171,11,3,12,   ,   ,1,3,8,4425
26172,11,3,15,   ,   ,1,3,10,5369
26173,11, ,17,   ,   ,2,3,10,6274
26174,11,3,17,   ,   ,2,3,10,4109
26175,11,6,12,008,006,2,1,1,3390
26176,11,5,13,997,006,1,1,1,3390
26177,11,3,5,   ,   ,2,3,8,3390
26178,11,6,11,008,002,1,1,1,3507
26179,11,6,10,010,011,2,1,1,3507
26180,11,6,11,005,006,2,1,1,3989
26181,11,6,13,008,011,2,1,1,2916
26182,11,3,14,007,011,1,1,1,2916
26183,11,3,6,008,011,1,1,1,2552
26184,11,3,8,   ,   ,2,3,8,2552
26185,11, ,3,   ,   ,2,3,9,2552
26186,11, ,1,   ,   ,1,3,9,2552
26187,11,5,13,   ,   ,2,3,8,1630
26188,11,5,13,   ,   ,1,3,8,1630
26189,11,3,15,   ,   ,1,3,10,2940
26190,11,5,14,007,006,2,1,1,2940
26191,11,4,7,   ,   ,2,3,5,2940
26192,11, ,1,   ,   ,1,3,9,2940
26193,11,3,12,007,002,1,1,1,3369
26194,11,3,13,007,002,2,1,1,3369
26195,11,5,6,   ,   ,1,3,8,3369
26196,11,2,17,   ,   ,1,3,10,2871
26197,11,2,17,   ,   ,2,3,10,2871
26198,11,6,10,010,011,1,1,1,4030
26199,11,6,11,010,006,2,1,1,4030
26200,11, ,3,   ,   ,1,3,9,4030
26201,11,2,17,   ,   ,1,3,10,4336
26202,11,2,17,   ,   ,2,3,10,4336
26203,11,3,11,007,005,1,1,1,4336
26204,11,5,16,   ,   ,1,3,10,3074
26205,11,3,15,   ,   ,2,3,10,3074
